"key","from","to","rho_ctrl","padj_ctrl","rho_low","padj_low","delta_rho","sig_ctrl","sig_low","edge_state"
"DGDG/LPE||TG/LPC","DGDG/LPE","DGDG/LPE",0.480732308534122,3.33461311386353e-21,0.45499717022378,7.24746032235634e-19,-0.0257351383103419,TRUE,TRUE,"stable_or_weak"
"PC/PG||PE/PA","PC/PG","PE/PA",0.48049627032812,3.50833680071753e-21,-0.0550376722341284,0.352769878191936,-0.535533942562248,TRUE,FALSE,"lost_in_LI"
"DG/LPE||TG/LPC","DG/LPE","DG/LPE",0.479971085319765,3.93599222933475e-21,0.476417905643727,8.49327328755191e-21,-0.00355317967603758,TRUE,TRUE,"stable_or_weak"
"LPC/PG||MG/PG","LPC/PG","LPC/PG",0.479887399046728,4.0027904916382e-21,-0.0416360666378772,0.492761703525594,-0.521523465684605,TRUE,FALSE,"lost_in_LI"
"DGDG/PG||TG/PG","DGDG/PG","DGDG/PG",0.479466821879669,4.38674017172699e-21,0.401013891384874,1.46602933602096e-14,-0.0784529304947951,TRUE,TRUE,"stable_or_weak"
"PC/PA||PE/LPE","PC/PA","PE/LPE",0.479261629575587,4.58288793772252e-21,0.518935092175602,4.66835072002718e-25,0.0396734626000145,TRUE,TRUE,"stable_or_weak"
"MGDG/LPE||TG/LPC","MGDG/LPE","MGDG/LPE",0.478389629339549,5.54884881726287e-21,0.423777898777161,2.75219522289026e-16,-0.0546117305623878,TRUE,TRUE,"stable_or_weak"
"PE/DGDG||PE/PG","PE/DGDG","PE/PG",0.47830647951698,5.64187679305072e-21,0.833666290257255,9.03646486283253e-92,0.355359810740275,TRUE,TRUE,"rewired_strength"
"DG/PA||DGDG/LPE","DG/PA","DGDG/LPE",0.477501267364231,6.72722266874018e-21,0.373978933590114,1.09812165719417e-12,-0.103522333774117,TRUE,TRUE,"stable_or_weak"
"MGDG/PG||PC/SQDG","MGDG/PG","MGDG/PG",-0.477129775415012,7.28808273451527e-21,-0.393936500358081,4.75300143918376e-14,0.0831932750569309,TRUE,TRUE,"stable_or_weak"
"MG/PC||PE/PG","MG/PC","PE/PG",-0.47642595240075,8.49302270815839e-21,-0.341502490471299,1.19740225709942e-10,0.134923461929451,TRUE,TRUE,"stable_or_weak"
"PC/LPE||TG/LPC","PC/LPE","PC/LPE",0.475064172887257,1.14261003395586e-20,0.0265430327154318,0.669326209330637,-0.448521140171825,TRUE,FALSE,"lost_in_LI"
"TG/MG||TG/PS","TG/MG","TG/PS",0.474066911466897,1.41801208990529e-20,0.176201984330282,0.0015176426569869,-0.297864927136615,TRUE,TRUE,"rewired_strength"
"DG/PC||DGDG/MGDG","DG/PC","DGDG/MGDG",-0.473261431088914,1.68677724315973e-20,0.0661770662060345,0.259643095801953,0.539438497294949,TRUE,FALSE,"lost_in_LI"
"DG/DGDG||DG/PE","DG/DGDG","DG/DGDG",0.472588453976573,1.94876367890425e-20,0.378131596664351,5.80471873404051e-13,-0.0944568573122222,TRUE,TRUE,"stable_or_weak"
"LPC/PS||PE/LPE","LPC/PS","LPC/PS",-0.471659321765673,2.37894114132848e-20,-0.291634323173856,5.70597441150456e-08,0.180024998591818,TRUE,TRUE,"stable_or_weak"
"DGDG/SQDG||TG/SQDG","DGDG/SQDG","DGDG/SQDG",0.47162767118805,2.39115226549237e-20,0.523299116734304,1.56835991743166e-25,0.0516714455462541,TRUE,TRUE,"stable_or_weak"
"DG/LPE||MGDG/PA","DG/LPE","MGDG/PA",0.471548008293524,2.42850256454564e-20,0.398167485200673,2.35910464566796e-14,-0.0733805230928515,TRUE,TRUE,"stable_or_weak"
"MG/PC||PA/PS","MG/PC","PA/PS",0.471499995976622,2.4496221884176e-20,-0.223673559161099,4.34698683483576e-05,-0.69517355513772,TRUE,TRUE,"sign_flip"
"DGDG/PG||PE/MGDG","DGDG/PG","DGDG/PG",-0.471137355460127,2.64464187440304e-20,-0.497062129010973,8.60354275966664e-23,-0.0259247735508462,TRUE,TRUE,"stable_or_weak"
"TG/LPE||TG/PE","TG/LPE","TG/LPE",0.470214928880079,3.2207425309743e-20,0.552973679057778,6.0846046432751e-29,0.0827587501776993,TRUE,TRUE,"stable_or_weak"
