"trait","n_snps","n_genes_in_rds"
"Sum_FA_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta7_SAP_bialleles_MAF_0.05_2",6106358,85
"Sum_FA_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta6_SAP_bialleles_MAF_0.05_2",6106358,93
"Sum_FA_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta10_SAP_bialleles_MAF_0.05_2",6106358,86
"Sum_FA_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta10_SAP_bialleles_MAF_0.05_2",6106358,99
"Sum_FA_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta3_SAP_bialleles_MAF_0.05_2",6106358,90
"Sum_FA_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta4_SAP_bialleles_MAF_0.05_2",6106358,78
"Sum_FA_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta5_SAP_bialleles_MAF_0.05_2",6106358,66
"Sum_FA_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta1_SAP_bialleles_MAF_0.05_2",6106358,94
"Sum_FA_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta1_SAP_bialleles_MAF_0.05_2",6106358,91
"Sum_FA_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta5_SAP_bialleles_MAF_0.05_2",6106358,64
"Sum_FA_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta2_SAP_bialleles_MAF_0.05_2",6106358,69
"Sum_FA_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta3_SAP_bialleles_MAF_0.05_2",6106358,85
"Sum_FA_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta4_SAP_bialleles_MAF_0.05_2",6106358,73
"Sum_FA_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta6_SAP_bialleles_MAF_0.05_2",6106358,98
"Sum_FA_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta8_SAP_bialleles_MAF_0.05_2",6106358,95
"Sum_FA_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta2_SAP_bialleles_MAF_0.05_2",6106358,98
"Sum_FA_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part06.parta9_SAP_bialleles_MAF_0.05_2",6106358,89
"Sum_GalCer_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta1_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta10_SAP_bialleles_MAF_0.05_13",6106358,9
"Sum_GalCer_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta5_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta5_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta3_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta8_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta9_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta6_SAP_bialleles_MAF_0.05_13",6106358,18
"Sum_GalCer_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta6_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta10_SAP_bialleles_MAF_0.05_13",6106358,5
"Sum_GalCer_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta7_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta8_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta9_SAP_bialleles_MAF_0.05_13",6106358,1
"Sum_GalCer_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta1_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta2_SAP_bialleles_MAF_0.05_13",6106358,9
"Sum_GalCer_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta7_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_GalCer_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta4_SAP_bialleles_MAF_0.05_13",6106358,21
"Sum_LPC_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta8_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta7_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta2_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta2_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta10_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta5_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta6_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta3_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta5_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta2_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta3_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta4_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta6_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPC_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta9_SAP_bialleles_MAF_0.05_13",6106358,5
"Sum_LPC_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta4_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPC_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part03.parta1_SAP_bialleles_MAF_0.05_13",6106358,0
"Sum_LPE_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta3_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta2_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta7_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta7_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta5_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta10_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_MG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta8_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta8_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta2_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta9_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta10_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta1_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta3_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta4_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta9_SAP_bialleles_MAF_0.05_14",6106358,0
"Sum_LPE_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part04.parta6_SAP_bialleles_MAF_0.05_14",6106358,5
"Sum_MG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta3_SAP_bialleles_MAF_0.05_4",6106358,1161
"Sum_MG_over_Cer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta2_SAP_bialleles_MAF_0.05_4",6106358,1286
"Sum_MG_over_DG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta7_SAP_bialleles_MAF_0.05_4",6106358,1371
"Sum_MG_over_DGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta9_SAP_bialleles_MAF_0.05_3",6106358,1338
"Sum_MG_over_FA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta5_SAP_bialleles_MAF_0.05_4",6106358,916
"Sum_MG_over_GalCer_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta2_SAP_bialleles_MAF_0.05_3",6106358,1256
"Sum_MG_over_LPC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta3_SAP_bialleles_MAF_0.05_3",6106358,1214
"Sum_MG_over_LPE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta1_SAP_bialleles_MAF_0.05_4",6106358,1149
"Sum_MG_over_MGDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta10_SAP_bialleles_MAF_0.05_3",6106358,1348
"Sum_MG_over_PA_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta1_SAP_bialleles_MAF_0.05_4",6106358,951
"Sum_MG_over_PC_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta8_SAP_bialleles_MAF_0.05_4",6106358,1005
"Sum_MG_over_PE_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta9_SAP_bialleles_MAF_0.05_4",6106358,993
"Sum_MG_over_PG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta10_SAP_bialleles_MAF_0.05_4",6106358,1041
"Sum_MG_over_PS_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta2_SAP_bialleles_MAF_0.05_4",6106358,1246
"Sum_MG_over_SM_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta4_SAP_bialleles_MAF_0.05_4",6106358,1235
"Sum_MG_over_SQDG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part07.parta1_SAP_bialleles_MAF_0.05_3",6106358,1069
"Sum_MG_over_TG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part08.parta6_SAP_bialleles_MAF_0.05_4",6106358,1208
"Sum_MGDG_over_AEG_log10safe_mod_sub_Final_control_BLUPs_class_sums_and_ratios_wide.part02.parta9_SAP_bialleles_MAF_0.05_12",6106358,1222
