"trait","n_snps","n_genes_in_rds"
"MG(18:2)",6106358,8
"MG(18:3)",6106358,2
"MG(20:4)",6106358,83
"MGDG(16:0_18:1)",6106358,23
"MGDG(16:0_18:3)",6106358,0
"MGDG(18:2_18:2)",6106358,0
"MGDG(18:2_18:3)",6106358,0
"MGDG(18:3_18:3)",6106358,5
"Oxo fatty acid (18:3)",6106358,757
"PA(16:0_18:2)",6106358,593
"Panaxcerol B",6106358,100
"PC(14:0_14:0)",6106358,31
"PC(14:0_18:0)",6106358,2
"PC(14:0_18:2)",6106358,547
"PC(14:0_18:3)",6106358,165
"PC(14:0_20:4)",6106358,1
"PC(14:0_22:5)",6106358,34
"PC(14:0_22:6)",6106358,0
"PC(16:0_16:0)",6106358,2
"PC(16:0_18:0)",6106358,2
"PC(16:0_18:1)",6106358,2
"PC(16:0_18:2)",6106358,8
"PC(16:0_18:3)",6106358,2
"PC(16:0_20:3)",6106358,1
"PC(16:0_20:4)",6106358,13
"PC(16:0_20:5)",6106358,0
"PC(16:0_22:5)",6106358,4
"PC(16:0_22:6)",6106358,0
"PC(16:1_16:1)",6106358,1132
"PC(16:1_18:2)",6106358,0
"PC(18:0_18:1)",6106358,1
"PC(18:0_18:2)",6106358,3
"PC(18:0_18:3)",6106358,7
"PC(18:0_20:2)",6106358,0
"PC(18:0_20:3)",6106358,0
"PC(18:0_20:4)",6106358,0
"PC(18:1_14:0)",6106358,0
"PC(18:1_16:0)",6106358,2
"PC(18:1_18:1)",6106358,3
"PC(18:1_18:2)",6106358,10
"PC(18:1_20:1)",6106358,2
"PC(18:1_20:4)",6106358,3
"PC(18:1_22:1)",6106358,56
"PC(18:1_24:0)",6106358,16
"PC(18:1_24:1)",6106358,9
"PC(18:2_0:0)",6106358,209
"PC(18:2_20:0)",6106358,7
"PC(18:3_0:0)",6106358,4
"PC(22:0_0:0)",6106358,14
"PC(22:1_22:1)",6106358,254
"PE(12:0_12:0)",6106358,6
"PE(14:0_22:6)",6106358,0
"PE(16:0_0:0)",6106358,0
"PE(16:0_18:0)",6106358,6
"PE(16:0_18:1)",6106358,2
"PE(16:0_18:2)",6106358,1
"PE(16:0_18:3)",6106358,0
"PE(16:0_20:4)",6106358,0
"PE(16:0_20:5)",6106358,0
"PE(18:0_18:1)",6106358,6
"PE(18:0_18:2)",6106358,4
"PE(18:1_18:2)",6106358,15
"PE(18:2_18:2)",6106358,0
"PE(18:2_18:3)",6106358,0
"PE(18:3_18:3)",6106358,0
"PG(16:0_16:0)",6106358,0
"PG(16:0_18:1)",6106358,0
"PG(18:0_16:0)",6106358,15
"Phytosphingosine",6106358,19
"PS(18:0_18:2)",6106358,0
"PS(18:0_20:4)",6106358,0
"SM(d18:1_17:0)",6106358,8
"SPB 18:0",6106358,101
"SPHINGANINE",6106358,101
"SQDG(16:0_14:0)",6106358,18
"SQDG(16:0_16:0)",6106358,0
"SQDG(16:0_18:0)",6106358,8
"SQDG(16:0_18:1)",6106358,9
"SQDG(16:0_18:2)",6106358,93
"SQDG(16:0_18:3)",6106358,0
"SQDG(16:1_18:3)",6106358,7
"SQDG(18:0_18:3)",6106358,0
"SQDG(18:1_18:3)",6106358,6
"SQDG(18:2_18:3)",6106358,36
"SQDG(18:3_18:3)",6106358,3
"TG(10:0_10:0_10:0)",6106358,652
"TG(10:0_12:0_14:0)",6106358,24
"TG(10:0_12:0_16:0)",6106358,14
"TG(10:0_14:0_16:0)",6106358,16
"TG(10:0_16:0_16:0)",6106358,13
"TG(10:0_16:1_18:1)",6106358,478
"TG(12:0_12:0_12:0)",6106358,6
"TG(12:0_12:0_14:0)",6106358,14
"TG(12:0_12:0_16:1)",6106358,168
"TG(12:0_12:0_18:1)",6106358,101
"TG(12:0_12:0_18:2)",6106358,165
"TG(12:0_14:0_16:0)",6106358,16
"TG(12:0_14:0_18:1)",6106358,108
"TG(12:0_14:0_18:3)",6106358,762
"TG(12:0_16:0_16:0)",6106358,4
"TG(12:0_16:0_18:1)",6106358,84
"TG(12:0_16:0_18:2)",6106358,217
"TG(12:0_16:0_18:3)",6106358,9
"TG(12:0_18:1_18:1)",6106358,49
"TG(12:0_18:1_18:2)",6106358,332
"TG(12:0_18:1_18:3)",6106358,59
"TG(12:0_18:2_18:3)",6106358,6
"TG(14:0_14:0_16:0)",6106358,4
"TG(14:0_14:0_16:1)",6106358,108
"TG(14:0_14:0_18:0)",6106358,14
"TG(14:0_16:0_16:0)",6106358,16
"TG(14:0_16:0_18:1)",6106358,21
"TG(14:0_18:1_18:2)",6106358,1
"TG(14:0_18:1_18:3)",6106358,13
"TG(14:0_18:2_18:3)",6106358,23
"TG(14:0_18:3_18:3)",6106358,1
"TG(16:0_16:0_16:0)",6106358,0
"TG(16:0_16:0_18:1)",6106358,1115
"TG(16:0_16:0_18:2)",6106358,296
"TG(16:0_16:0_20:1)",6106358,1889
"TG(16:0_18:0_18:2)",6106358,1373
"TG(16:0_18:1_18:1)",6106358,1723
"TG(16:0_18:1_18:2)",6106358,1540
"TG(16:0_18:1_18:3)",6106358,40
"TG(16:0_18:1_20:0)",6106358,1127
"TG(16:0_18:1_20:1)",6106358,1412
"TG(16:0_18:1_20:2)",6106358,992
"TG(16:0_18:1_22:0)",6106358,5
"TG(16:0_18:1_22:1)",6106358,103
"TG(16:0_18:2_18:3)",6106358,44
"TG(16:0_18:3_18:3)",6106358,37
"TG(16:1_16:1_22:5)",6106358,33
"TG(16:1_18:1_18:1)",6106358,1229
"TG(16:1_20:1_20:2)",6106358,15
"TG(16:1_20:1_22:1)",6106358,17
"TG(18:0_18:0_20:1)",6106358,67
"TG(18:0_18:2_18:2)",6106358,1378
"TG(18:0_18:2_20:1)",6106358,97
"TG(18:0_18:2_22:0)",6106358,5
"TG(18:1_18:1_20:3)",6106358,1
"TG(18:1_18:2_18:2)",6106358,810
"TG(18:1_18:2_18:3)",6106358,26
"TG(18:1_18:3_22:0)",6106358,33
"TG(18:1_20:0_22:1)",6106358,105
"TG(18:1_20:1_22:1)",6106358,113
"TG(18:1_20:3_22:0)",6106358,85
"TG(18:2_18:2_18:4)",6106358,85
"TG(18:2_18:2_20:2)",6106358,3
"TG(18:2_18:2_22:1)",6106358,57
"TG(18:2_18:3_20:3)",6106358,36
"TG(18:2_20:2_22:2)",6106358,10
"TG(18:2_20:3_21:0)",6106358,108
"TG(18:2_20:3_22:0)",6106358,51
"TG(18:2_22:0_22:3)",6106358,273
"TG(18:3_18:3_18:3)",6106358,118
"TG(8:0_16:1_18:1)",6106358,165
"trans-EKODE-(E)-Ib",6106358,442
"Ubidecarenone",6106358,3
"Ubiquinone 9",6106358,0
"Vitamin K1",6106358,0
"Zeaxanthin",6106358,0
