"trait","n_snps","n_genes_in_rds"
"MG(18:2)",6106358,0
"MG(18:3)",6106358,0
"MG(20:4)",6106358,21
"MGDG(16:0_18:1)",6106358,12
"MGDG(16:0_18:3)",6106358,0
"MGDG(18:2_18:2)",6106358,0
"MGDG(18:2_18:3)",6106358,0
"MGDG(18:3_18:3)",6106358,4
"Oxo fatty acid (18:3)",6106358,322
"PA(16:0_18:2)",6106358,224
"Panaxcerol B",6106358,26
"PC(14:0_14:0)",6106358,17
"PC(14:0_18:0)",6106358,2
"PC(14:0_18:2)",6106358,119
"PC(14:0_18:3)",6106358,70
"PC(14:0_20:4)",6106358,0
"PC(14:0_22:5)",6106358,13
"PC(14:0_22:6)",6106358,0
"PC(16:0_16:0)",6106358,0
"PC(16:0_18:0)",6106358,0
"PC(16:0_18:1)",6106358,0
"PC(16:0_18:2)",6106358,0
"PC(16:0_18:3)",6106358,2
"PC(16:0_20:3)",6106358,0
"PC(16:0_20:4)",6106358,6
"PC(16:0_20:5)",6106358,0
"PC(16:0_22:5)",6106358,3
"PC(16:0_22:6)",6106358,0
"PC(16:1_16:1)",6106358,351
"PC(16:1_18:2)",6106358,0
"PC(18:0_18:1)",6106358,0
"PC(18:0_18:2)",6106358,3
"PC(18:0_18:3)",6106358,0
"PC(18:0_20:2)",6106358,0
"PC(18:0_20:3)",6106358,0
"PC(18:0_20:4)",6106358,0
"PC(18:1_14:0)",6106358,0
"PC(18:1_16:0)",6106358,0
"PC(18:1_18:1)",6106358,3
"PC(18:1_18:2)",6106358,3
"PC(18:1_20:1)",6106358,2
"PC(18:1_20:4)",6106358,3
"PC(18:1_22:1)",6106358,14
"PC(18:1_24:0)",6106358,0
"PC(18:1_24:1)",6106358,0
"PC(18:2_0:0)",6106358,59
"PC(18:2_20:0)",6106358,2
"PC(18:3_0:0)",6106358,0
"PC(22:0_0:0)",6106358,1
"PC(22:1_22:1)",6106358,39
"PE(12:0_12:0)",6106358,1
"PE(14:0_22:6)",6106358,0
"PE(16:0_0:0)",6106358,0
"PE(16:0_18:0)",6106358,5
"PE(16:0_18:1)",6106358,0
"PE(16:0_18:2)",6106358,0
"PE(16:0_18:3)",6106358,0
"PE(16:0_20:4)",6106358,0
"PE(16:0_20:5)",6106358,0
"PE(18:0_18:1)",6106358,2
"PE(18:0_18:2)",6106358,3
"PE(18:1_18:2)",6106358,8
"PE(18:2_18:2)",6106358,0
"PE(18:2_18:3)",6106358,0
"PE(18:3_18:3)",6106358,0
"PG(16:0_16:0)",6106358,0
"PG(16:0_18:1)",6106358,0
"PG(18:0_16:0)",6106358,7
"Phytosphingosine",6106358,3
"PS(18:0_18:2)",6106358,0
"PS(18:0_20:4)",6106358,0
"SM(d18:1_17:0)",6106358,0
"SPB 18:0",6106358,34
"SPHINGANINE",6106358,34
"SQDG(16:0_14:0)",6106358,0
"SQDG(16:0_16:0)",6106358,0
"SQDG(16:0_18:0)",6106358,0
"SQDG(16:0_18:1)",6106358,0
"SQDG(16:0_18:2)",6106358,21
"SQDG(16:0_18:3)",6106358,0
"SQDG(16:1_18:3)",6106358,3
"SQDG(18:0_18:3)",6106358,0
"SQDG(18:1_18:3)",6106358,0
"SQDG(18:2_18:3)",6106358,1
"SQDG(18:3_18:3)",6106358,0
"TG(10:0_10:0_10:0)",6106358,254
"TG(10:0_12:0_14:0)",6106358,5
"TG(10:0_12:0_16:0)",6106358,11
"TG(10:0_14:0_16:0)",6106358,4
"TG(10:0_16:0_16:0)",6106358,4
"TG(10:0_16:1_18:1)",6106358,158
"TG(12:0_12:0_12:0)",6106358,4
"TG(12:0_12:0_14:0)",6106358,11
"TG(12:0_12:0_16:1)",6106358,64
"TG(12:0_12:0_18:1)",6106358,26
"TG(12:0_12:0_18:2)",6106358,57
"TG(12:0_14:0_16:0)",6106358,4
"TG(12:0_14:0_18:1)",6106358,9
"TG(12:0_14:0_18:3)",6106358,301
"TG(12:0_16:0_16:0)",6106358,0
"TG(12:0_16:0_18:1)",6106358,22
"TG(12:0_16:0_18:2)",6106358,80
"TG(12:0_16:0_18:3)",6106358,0
"TG(12:0_18:1_18:1)",6106358,18
"TG(12:0_18:1_18:2)",6106358,105
"TG(12:0_18:1_18:3)",6106358,33
"TG(12:0_18:2_18:3)",6106358,0
"TG(14:0_14:0_16:0)",6106358,0
"TG(14:0_14:0_16:1)",6106358,9
"TG(14:0_14:0_18:0)",6106358,0
"TG(14:0_16:0_16:0)",6106358,1
"TG(14:0_16:0_18:1)",6106358,0
"TG(14:0_18:1_18:2)",6106358,0
"TG(14:0_18:1_18:3)",6106358,3
"TG(14:0_18:2_18:3)",6106358,1
"TG(14:0_18:3_18:3)",6106358,1
"TG(16:0_16:0_16:0)",6106358,0
"TG(16:0_16:0_18:1)",6106358,408
"TG(16:0_16:0_18:2)",6106358,90
"TG(16:0_16:0_20:1)",6106358,789
"TG(16:0_18:0_18:2)",6106358,553
"TG(16:0_18:1_18:1)",6106358,737
"TG(16:0_18:1_18:2)",6106358,595
"TG(16:0_18:1_18:3)",6106358,2
"TG(16:0_18:1_20:0)",6106358,460
"TG(16:0_18:1_20:1)",6106358,612
"TG(16:0_18:1_20:2)",6106358,403
"TG(16:0_18:1_22:0)",6106358,5
"TG(16:0_18:1_22:1)",6106358,27
"TG(16:0_18:2_18:3)",6106358,4
"TG(16:0_18:3_18:3)",6106358,6
"TG(16:1_16:1_22:5)",6106358,7
"TG(16:1_18:1_18:1)",6106358,493
"TG(16:1_20:1_20:2)",6106358,0
"TG(16:1_20:1_22:1)",6106358,4
"TG(18:0_18:0_20:1)",6106358,15
"TG(18:0_18:2_18:2)",6106358,613
"TG(18:0_18:2_20:1)",6106358,25
"TG(18:0_18:2_22:0)",6106358,0
"TG(18:1_18:1_20:3)",6106358,0
"TG(18:1_18:2_18:2)",6106358,328
"TG(18:1_18:2_18:3)",6106358,1
"TG(18:1_18:3_22:0)",6106358,9
"TG(18:1_20:0_22:1)",6106358,29
"TG(18:1_20:1_22:1)",6106358,53
"TG(18:1_20:3_22:0)",6106358,18
"TG(18:2_18:2_18:4)",6106358,25
"TG(18:2_18:2_20:2)",6106358,0
"TG(18:2_18:2_22:1)",6106358,5
"TG(18:2_18:3_20:3)",6106358,4
"TG(18:2_20:2_22:2)",6106358,1
"TG(18:2_20:3_21:0)",6106358,44
"TG(18:2_20:3_22:0)",6106358,12
"TG(18:2_22:0_22:3)",6106358,102
"TG(18:3_18:3_18:3)",6106358,27
"TG(8:0_16:1_18:1)",6106358,57
"trans-EKODE-(E)-Ib",6106358,230
"Ubidecarenone",6106358,0
"Ubiquinone 9",6106358,0
"Vitamin K1",6106358,0
"Zeaxanthin",6106358,0
