"trait","n_snps","n_genes_in_rds"
"PE(16:0_0:0)",6085245,8
"PE(16:0_18:0)",6085245,16
"PE(16:0_18:1)",6085245,23
"PE(16:0_18:2)",6085245,17
"PE(16:0_18:3)",6085245,8
"PE(16:0_20:4)",6085245,0
"PE(16:0_20:5)",6085245,9
"PE(16:1_18:2)",6085245,0
"PE(18:0_18:2)",6085245,0
"PE(18:0_18:3)",6085245,13
"PE(18:1_18:1)",6085245,11
"PE(18:2_18:2)",6085245,14
"PE(18:2_18:3)",6085245,0
"PE(18:3_18:3)",6085245,0
"PG(16:0_16:0)",6085245,0
"PG(16:0_18:0)",6085245,0
"PG(16:0_18:1)",6085245,0
"Phytosphingosine",6085245,0
"PS(18:0_18:2)",6085245,27
"SM(d18:1_17:0)",6085245,54
"SQDG(16:0_14:0)",6085245,0
"SQDG(16:0_16:0)",6085245,7
"SQDG(16:0_18:1)",6085245,991
"SQDG(16:0_18:2)",6085245,2
"SQDG(16:0_18:3)",6085245,10
"SQDG(16:1_18:3)",6085245,0
"SQDG(18:0_18:3)",6085245,2
"SQDG(18:1_18:3)",6085245,0
"SQDG(18:2_18:3)",6085245,1
"SQDG(18:3_18:3)",6085245,76
"TG(10:0_10:0_10:0)",6085245,34
"TG(10:0_10:0_14:0)",6085245,0
"TG(10:0_12:0_14:0)",6085245,0
"TG(10:0_12:0_16:0)",6085245,0
"TG(10:0_14:0_16:0)",6085245,10
"TG(10:0_16:0_16:0)",6085245,0
"TG(12:0_12:0_12:0)",6085245,0
"TG(12:0_12:0_14:0)",6085245,0
"TG(12:0_12:0_18:1)",6085245,10
"TG(12:0_14:0_16:0)",6085245,0
"TG(12:0_14:0_18:1)",6085245,0
"TG(12:0_16:0_16:0)",6085245,34
"TG(12:0_16:0_18:1)",6085245,0
"TG(12:0_16:0_18:3)",6085245,1
"TG(12:0_18:1_18:3)",6085245,154
"TG(12:0_18:2_18:3)",6085245,582
"TG(14:0_14:0_16:1)",6085245,51
"TG(14:0_14:0_18:0)",6085245,34
"TG(14:0_14:1_18:1)",6085245,0
"TG(14:0_16:0_18:1)",6085245,62
"TG(14:0_16:0_18:2)",6085245,10
"TG(14:0_16:1_18:2)",6085245,0
"TG(14:0_16:1_22:6)",6085245,12
"TG(14:0_18:1_18:1)",6085245,0
"TG(14:0_18:1_18:2)",6085245,18
"TG(14:0_18:1_18:3)",6085245,19
"TG(14:0_18:2_18:3)",6085245,344
"TG(14:0_18:3_18:3)",6085245,679
"TG(16:0_16:0_16:0)",6085245,0
"TG(16:0_16:0_18:1)",6085245,0
"TG(16:0_16:0_20:1)",6085245,3
"TG(16:0_16:0_20:3)",6085245,0
"TG(16:0_18:0_18:2)",6085245,0
"TG(16:0_18:0_22:1)",6085245,0
"TG(16:0_18:1_18:2)",6085245,2
"TG(16:0_18:1_18:3)",6085245,4
"TG(16:0_18:1_20:0)",6085245,36
"TG(16:0_18:1_20:2)",6085245,0
"TG(16:0_18:1_22:0)",6085245,12
"TG(16:0_18:2_18:3)",6085245,174
"TG(16:0_18:2_22:0)",6085245,33
"TG(16:0_18:3_18:3)",6085245,0
"TG(16:1_16:1_22:5)",6085245,45
"TG(16:1_20:1_20:2)",6085245,101
"TG(18:0_18:0_18:2)",6085245,10
"TG(18:0_18:1_18:2)",6085245,0
"TG(18:0_18:1_22:0)",6085245,3
"TG(18:0_18:2_18:2)",6085245,11
"TG(18:0_18:2_18:3)",6085245,45
"TG(18:0_18:2_20:1)",6085245,33
"TG(18:0_18:2_22:0)",6085245,0
"TG(18:1_18:1_18:1)",6085245,53
"TG(18:1_18:1_18:2)",6085245,4
"TG(18:1_18:1_20:3)",6085245,51
"TG(18:1_18:2_18:2)",6085245,325
"TG(18:1_18:2_18:3)",6085245,33
"TG(18:1_18:2_22:0)",6085245,86
"TG(18:1_18:3_22:0)",6085245,19
"TG(18:1_20:3_22:0)",6085245,27
"TG(18:2_18:2_18:4)",6085245,70
"TG(18:2_18:2_22:1)",6085245,37
"TG(18:2_18:3_20:1)",6085245,60
"TG(18:2_18:3_20:3)",6085245,26
"TG(18:2_18:3_22:1)",6085245,139
"TG(18:2_20:2_22:2)",6085245,314
"TG(18:2_20:3_22:0)",6085245,228
"TG(18:3_18:3_18:3)",6085245,155
"TG(18:3_18:3_20:3)",6085245,15
"TG(8:0_10:0_10:0)",6085245,65
"Ubidecarenone",6085245,18
"Ubiquinone 9",6085245,11
"Vitamin K1",6085245,0
"Zeaxanthin",6085245,0
