"trait","n_snps","n_genes_in_rds"
"PE(18:2_18:2)",6085245,78
"PE(18:2_18:3)",6085245,23
"PE(18:3_18:3)",6085245,7
"PG(16:0_16:0)",6085245,23
"PG(16:0_18:0)",6085245,17
"PG(16:0_18:1)",6085245,0
"Phytosphingosine",6085245,0
"PS(18:0_18:2)",6085245,52
"SM(d18:1_17:0)",6085245,178
"SQDG(16:0_14:0)",6085245,1
"SQDG(16:0_16:0)",6085245,68
"SQDG(16:0_18:1)",6085245,1383
"SQDG(16:0_18:2)",6085245,15
"SQDG(16:0_18:3)",6085245,104
"SQDG(16:1_18:3)",6085245,8
"SQDG(18:0_18:3)",6085245,11
"SQDG(18:1_18:3)",6085245,5
"SQDG(18:2_18:3)",6085245,58
"SQDG(18:3_18:3)",6085245,245
"TG(10:0_10:0_10:0)",6085245,93
"TG(10:0_10:0_14:0)",6085245,0
"TG(10:0_12:0_14:0)",6085245,5
"TG(10:0_12:0_16:0)",6085245,2
"TG(10:0_14:0_16:0)",6085245,10
"TG(10:0_16:0_16:0)",6085245,9
"TG(12:0_12:0_12:0)",6085245,0
"TG(12:0_12:0_14:0)",6085245,2
"TG(12:0_12:0_18:1)",6085245,10
"TG(12:0_14:0_16:0)",6085245,31
"TG(12:0_14:0_18:1)",6085245,0
"TG(12:0_16:0_16:0)",6085245,155
"TG(12:0_16:0_18:1)",6085245,9
"TG(12:0_16:0_18:3)",6085245,34
"TG(12:0_18:1_18:3)",6085245,506
"TG(12:0_18:2_18:3)",6085245,1382
"TG(14:0_14:0_16:1)",6085245,170
"TG(14:0_14:0_18:0)",6085245,155
"TG(14:0_14:1_18:1)",6085245,23
"TG(14:0_16:0_18:1)",6085245,145
"TG(14:0_16:0_18:2)",6085245,37
"TG(14:0_16:1_18:2)",6085245,18
"TG(14:0_16:1_22:6)",6085245,60
"TG(14:0_18:1_18:1)",6085245,54
"TG(14:0_18:1_18:2)",6085245,29
"TG(14:0_18:1_18:3)",6085245,63
"TG(14:0_18:2_18:3)",6085245,1300
"TG(14:0_18:3_18:3)",6085245,1325
"TG(16:0_16:0_16:0)",6085245,8
"TG(16:0_16:0_18:1)",6085245,6
"TG(16:0_16:0_20:1)",6085245,17
"TG(16:0_16:0_20:3)",6085245,0
"TG(16:0_18:0_18:2)",6085245,12
"TG(16:0_18:0_22:1)",6085245,16
"TG(16:0_18:1_18:2)",6085245,11
"TG(16:0_18:1_18:3)",6085245,14
"TG(16:0_18:1_20:0)",6085245,109
"TG(16:0_18:1_20:2)",6085245,6
"TG(16:0_18:1_22:0)",6085245,67
"TG(16:0_18:2_18:3)",6085245,534
"TG(16:0_18:2_22:0)",6085245,113
"TG(16:0_18:3_18:3)",6085245,0
"TG(16:1_16:1_22:5)",6085245,218
"TG(16:1_20:1_20:2)",6085245,209
"TG(18:0_18:0_18:2)",6085245,48
"TG(18:0_18:1_18:2)",6085245,10
"TG(18:0_18:1_22:0)",6085245,53
"TG(18:0_18:2_18:2)",6085245,51
"TG(18:0_18:2_18:3)",6085245,149
"TG(18:0_18:2_20:1)",6085245,107
"TG(18:0_18:2_22:0)",6085245,3
"TG(18:1_18:1_18:1)",6085245,201
"TG(18:1_18:1_18:2)",6085245,4
"TG(18:1_18:1_20:3)",6085245,108
"TG(18:1_18:2_18:2)",6085245,863
"TG(18:1_18:2_18:3)",6085245,107
"TG(18:1_18:2_22:0)",6085245,165
"TG(18:1_18:3_22:0)",6085245,72
"TG(18:1_20:3_22:0)",6085245,102
"TG(18:2_18:2_18:4)",6085245,168
"TG(18:2_18:2_22:1)",6085245,169
"TG(18:2_18:3_20:1)",6085245,270
"TG(18:2_18:3_20:3)",6085245,104
"TG(18:2_18:3_22:1)",6085245,278
"TG(18:2_20:2_22:2)",6085245,634
"TG(18:2_20:3_22:0)",6085245,450
"TG(18:3_18:3_18:3)",6085245,268
"TG(18:3_18:3_20:3)",6085245,61
"TG(8:0_10:0_10:0)",6085245,171
"Ubidecarenone",6085245,65
"Ubiquinone 9",6085245,32
"Vitamin K1",6085245,7
"Zeaxanthin",6085245,7
